game_id,season_id,year,phase,date,home_team,away_team,home_win,home_win_rate_10,home_runs_scored_10,home_runs_allowed_10,away_win_rate_10,away_runs_scored_10,away_runs_allowed_10,home_starter_ERA,home_starter_WHIP,home_starter_FIP,away_starter_ERA,away_starter_WHIP,away_starter_FIP,home_bullpen_ERA,home_bullpen_WHIP,away_bullpen_ERA,away_bullpen_WHIP,home_lineup_OPS,home_lineup_OBP,home_lineup_SLG,away_lineup_OPS,away_lineup_OBP,away_lineup_SLG,win_rate_diff,runs_scored_diff,run_diff_10,starter_ERA_diff,starter_WHIP_diff,starter_FIP_diff,lineup_OPS_diff,lineup_OBP_diff,lineup_SLG_diff,bullpen_ERA_diff,bullpen_WHIP_diff
R9hG8,CPBL-2024-xa,2024,一軍,2024-07-12,台鋼雄鷹,樂天桃猿,0,0.3,4.1,6.2,0.5,4.8,4.5,2.746,1.153,2.495,2.106,1.17,3.604,3.89275,1.5685,3.316,1.421,0.7305555555555556,0.358,0.37277777777777776,0.675,0.31444444444444447,0.3605555555555556,-0.2,-0.7000000000000002,-2.4000000000000004,0.6400000000000001,-0.016999999999999904,-1.109,0.05555555555555558,0.043555555555555514,0.01222222222222219,0.5767500000000001,0.14749999999999996
7NlxL,CPBL-2024-xa,2024,一軍,2024-07-12,富邦悍將,統一7-ELEVEn獅,0,0.7,5.3,5.3,0.6,4.9,3.2,5.081,1.613,4.767,2.201,1.092,2.926,3.8604,1.3038,3.3313333333333333,1.2193333333333334,0.708125,0.32875,0.3795,0.6786666666666666,0.32766666666666666,0.3512222222222222,0.09999999999999998,0.39999999999999947,-1.7000000000000002,2.8800000000000003,0.5209999999999999,1.8410000000000002,0.029458333333333364,0.001083333333333325,0.02827777777777779,0.5290666666666666,0.08446666666666669
klo7M,CPBL-2024-xa,2024,一軍,2024-07-12,中信兄弟,味全龍,0,0.7,5.6,2.8,0.2,2.5,4.8,2.534,1.116,3.555,2.905,1.329,4.261,3.276,0.9626666666666667,1.105,0.8115,0.7213333333333334,0.3418888888888889,0.37966666666666665,0.782,0.3931111111111111,0.3888888888888889,0.49999999999999994,3.0999999999999996,5.1,-0.371,-0.21299999999999986,-0.706,-0.06066666666666665,-0.05122222222222217,-0.009222222222222243,2.171,0.15116666666666667
HcFRP,CPBL-2024-xa,2024,一軍,2024-07-10,台鋼雄鷹,富邦悍將,1,0.2,3.6,5.9,0.8,5.4,5.2,3.75,1.0,4.122,3.825,1.312,3.647,3.1845,1.337,2.827,1.2338,0.7416666666666667,0.35844444444444445,0.3832222222222222,0.6876666666666666,0.3247777777777778,0.3627777777777778,-0.6000000000000001,-1.8000000000000003,-2.5000000000000004,-0.07500000000000018,-0.31200000000000006,0.4750000000000001,0.05400000000000005,0.03366666666666668,0.020444444444444376,0.35749999999999993,0.10319999999999996
P0WLq,CPBL-2024-xa,2024,一軍,2024-07-10,味全龍,統一7-ELEVEn獅,0,0.2,2.7,4.8,0.6,4.4,3.3,3.375,1.227,3.224,4.777,1.662,3.907,3.0559999999999996,1.2413333333333334,,,0.7702222222222223,0.35588888888888887,0.41433333333333333,0.7255555555555556,0.35644444444444445,0.3693333333333333,-0.39999999999999997,-1.7000000000000002,-3.2,-1.4020000000000001,-0.43499999999999983,-0.6829999999999998,0.04466666666666663,-0.0005555555555555869,0.04500000000000004,,
HzhcI,CPBL-2024-xa,2024,一軍,2024-07-10,中信兄弟,樂天桃猿,1,0.7,4.8,2.7,0.5,5.1,4.5,3.539,1.209,3.137,4.068,1.397,2.999,1.95,0.6165,5.255333333333334,1.4486666666666668,0.7368888888888888,0.3467777777777778,0.3904444444444444,0.7055555555555555,0.33266666666666667,0.3728888888888889,0.19999999999999996,-0.2999999999999998,1.5,-0.5289999999999995,-0.18799999999999994,0.1379999999999999,0.031333333333333324,0.01411111111111113,0.017555555555555546,-3.3053333333333335,-0.8321666666666667
LvDWH,CPBL-2024-xa,2024,一軍,2024-07-09,台鋼雄鷹,富邦悍將,0,0.2,3.8,6.1,0.7,5.1,5.2,3.146,1.398,3.093,1.834,1.098,2.25,2.6795999999999998,1.0576,2.2783333333333333,1.1103333333333334,0.7444444444444445,0.35888888888888887,0.3855555555555556,0.68,0.31977777777777777,0.36033333333333334,-0.49999999999999994,-1.2999999999999998,-2.1999999999999993,1.3119999999999998,0.2999999999999998,0.843,0.06444444444444442,0.039111111111111097,0.025222222222222257,0.40126666666666644,-0.0527333333333333
2FQQI,CPBL-2024-xa,2024,一軍,2024-07-09,味全龍,統一7-ELEVEn獅,0,0.3,3.3,4.2,0.5,3.8,4.3,1.5,0.5,2.122,3.484,1.113,2.759,5.337,1.327,5.1005,1.6515,0.7271111111111112,0.3538888888888889,0.3731111111111111,0.6821111111111111,0.3308888888888889,0.35133333333333333,-0.2,-0.5,-0.40000000000000036,-1.984,-0.613,-0.637,0.04500000000000004,0.02300000000000002,0.021777777777777785,0.2364999999999995,-0.3245
SqdOb,CPBL-2024-xa,2024,一軍,2024-07-09,中信兄弟,樂天桃猿,0,0.8,5.5,2.4,0.5,5.0,4.5,5.655,1.784,4.075,4.472,1.712,3.619,4.119,1.305,1.4923333333333335,1.0416666666666667,0.7594444444444445,0.37344444444444447,0.3858888888888889,0.7016666666666667,0.332,0.36966666666666664,0.30000000000000004,0.5,2.6,1.1829999999999998,0.07200000000000006,0.45599999999999996,0.05777777777777782,0.04144444444444445,0.01622222222222225,2.626666666666666,0.2633333333333332
DmJ2p,CPBL-2024-xa,2024,一軍,2024-07-07,樂天桃猿,富邦悍將,0,0.6,5.2,4.1,0.6,4.7,5.4,4.301,1.407,3.972,2.613,1.645,5.638,1.4436666666666664,1.0116666666666667,2.16425,0.9855,0.7033333333333334,0.3258888888888889,0.3771111111111111,0.6977777777777778,0.3338888888888889,0.36377777777777776,0.0,0.5,1.8000000000000007,1.6880000000000002,-0.238,-1.666,0.005555555555555536,-0.008000000000000007,0.013333333333333364,-0.7205833333333336,0.02616666666666667
