rank_test_accuracy,mean_test_accuracy,std_test_accuracy,mean_test_auc,mean_test_neg_brier,mean_fit_time,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_leaf,param_rf__max_features
26,0.6076134890428861,0.02391785930475747,0.6470215051220318,-0.23408818328916067,6.6939279437065125,300,12,5,
27,0.6072529703176495,0.02897905774438124,0.6510732872514481,-0.23227684075301552,2.274352014064789,500,10,10,log2
28,0.6072354959467269,0.03443598455851439,0.6539967678425909,-0.23174695364317166,11.276389300823212,1200,6,15,0.6
29,0.6071397285842961,0.024864582526170034,0.6456898114641021,-0.23339023949398482,15.923925936222076,800,10,1,0.6
30,0.6069170849234902,0.0207853619033365,0.6519238463647677,-0.23248816873086342,3.1922330260276794,300,6,30,0.8
31,0.6068213175610593,0.015875717639202896,0.6544443567013141,-0.2316943540764877,5.051695704460144,800,8,30,0.4
32,0.6066750469888111,0.01667528060409688,0.6537291534694192,-0.2321028771366917,17.068832755088806,1200,8,2,0.6
33,0.6066659681257062,0.03383419066915118,0.6519364859663439,-0.2321672832284356,6.419348657131195,500,6,15,
34,0.6063475571024695,0.02081487266170557,0.6524609894394429,-0.23196703108683478,6.341876029968262,800,16,30,0.6
35,0.6062271564089614,0.029008203114154456,0.6517394059200978,-0.23227945245232334,0.9884852766990662,200,,30,log2
36,0.6062012865302212,0.025122405546288498,0.6524345085910103,-0.23237859279354708,2.9025887846946716,200,10,20,
37,0.6061663377883759,0.024697486246978963,0.6529598885325905,-0.2319672896307989,9.655799627304077,800,6,20,0.8
38,0.6060375415870504,0.022523293637053767,0.6526516552398344,-0.23182396487225065,14.693132102489471,1200,12,20,0.8
39,0.606002592845205,0.025777450876742877,0.6540136651429826,-0.2319886823600118,1.385408103466034,200,8,30,0.6
40,0.6058213735311115,0.030720475578367802,0.6555217271302054,-0.2314076315706145,8.624902665615082,800,6,1,0.6
41,0.6056667074510458,0.016897503211403323,0.6527241306270387,-0.232523518022636,17.256055116653442,800,12,10,
42,0.6055968099673552,0.02588855099666482,0.647867111266551,-0.2330844595098738,19.01140421628952,1200,16,5,0.4
43,0.6055793355964325,0.029239895710069956,0.6522199771751268,-0.2320074508042285,13.345666885375977,800,6,15,0.8
44,0.6049593045655943,0.029942627260747992,0.6554431833828587,-0.23142628594037146,0.7967622876167297,200,6,5,sqrt
45,0.604734741001838,0.024471656846683995,0.6442852553125541,-0.2335430732271205,0.8472339510917664,200,8,1,log2
46,0.6046408935423576,0.02066451631857137,0.6542199913685343,-0.23173034026870235,15.346690058708191,1200,12,30,
47,0.6045379672197723,0.030856576565784766,0.6509984516409388,-0.2321254388317689,4.344253063201904,1200,10,15,sqrt
48,0.6045204928488497,0.029604819104164893,0.6521103562551394,-0.2322997043542671,0.8615521192550659,300,12,30,log2
49,0.6041237888341047,0.01815799419687486,0.6523123305763932,-0.2321582834943905,3.2793756127357483,300,12,20,0.4
50,0.6041147099709997,0.03040232644711174,0.6510151889110367,-0.23279725378974003,3.9942315220832825,300,10,20,
51,0.6039600438909338,0.0233294883023829,0.6523952486093392,-0.2323543946449713,3.5481106638908386,200,12,20,
52,0.6037613502059177,0.02271305858355445,0.651771205534087,-0.23203821615280917,10.87160313129425,800,,20,0.8
53,0.6036150796336694,0.024005433155080913,0.6514667331693844,-0.2323477792014486,16.066152334213257,1200,10,10,0.6
