game_id,season_id,year,phase,group,date,started_at,ended_at,location,innings,audience,status,finished_status,home_team,home_team_id,away_team,away_team_id,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_scores,away_scores,winner_side,home_win
zUJPL,CPBL-2026-oB,2026,一軍,例行賽,2026-05-12,2026-05-12 18:35,2026-05-12 21:10,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,中信兄弟,RAe8S,2,1,4,5,0,0,"0,0,0,2,0,0,0,0,0","0,0,0,0,0,0,0,0,1",HOME,1
RShdF,CPBL-2026-oB,2026,一軍,例行賽,2026-05-10,2026-05-10 17:05,2026-05-10 20:00,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,台鋼雄鷹,UuZ3x,0,2,6,5,0,0,"0,0,0,0,0,0,0,0,0","1,0,1,0,0,0,0,0,0",AWAY,0
wHfzA,CPBL-2026-oB,2026,一軍,例行賽,2026-05-10,2026-05-10 17:06,2026-05-10 20:07,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,統一7-ELEVEn獅,NsGzj,7,2,11,9,1,0,"0,0,0,7,0,0,0,0,0","0,0,0,0,0,1,0,1,0",HOME,1
nIT5J,CPBL-2026-oB,2026,一軍,例行賽,2026-05-10,2026-05-10 17:06,2026-05-10 20:39,新北市立新莊棒球場,10,,FINISHED,NORMAL,富邦悍將,H0zzP,味全龍,GJ5tu,8,7,16,13,0,1,"0,3,0,0,0,1,0,0,1,3","3,0,0,0,1,0,1,0,0,2",HOME,1
kA0ee,CPBL-2026-oB,2026,一軍,例行賽,2026-05-09,2026-05-09 17:05,2026-05-09 19:54,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,台鋼雄鷹,UuZ3x,4,2,6,10,1,2,"2,0,0,0,1,1,0,0,0","0,0,0,0,1,0,1,0,0",HOME,1
IO0Ni,CPBL-2026-oB,2026,一軍,例行賽,2026-05-09,2026-05-09 17:05,2026-05-09 19:17,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,統一7-ELEVEn獅,NsGzj,0,1,7,6,0,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,1,0,0,0,0",AWAY,0
oot60,CPBL-2026-oB,2026,一軍,例行賽,2026-05-09,2026-05-09 17:05,2026-05-09 20:42,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,味全龍,GJ5tu,2,8,8,10,2,0,"0,0,0,2,0,0,0,0,0","0,0,2,3,1,1,1,0,0",AWAY,0
OPVVo,CPBL-2026-oB,2026,一軍,例行賽,2026-05-08,2026-05-08 18:35,2026-05-08 21:30,臺中市洲際棒球場,9,,FINISHED,NORMAL,中信兄弟,RAe8S,台鋼雄鷹,UuZ3x,0,6,8,7,1,0,"0,0,0,0,0,0,0,0,0","1,0,3,2,0,0,0,0,0",AWAY,0
Fix82,CPBL-2026-oB,2026,一軍,例行賽,2026-05-08,2026-05-08 18:35,2026-05-08 21:11,樂天桃園棒球場,9,,FINISHED,NORMAL,樂天桃猿,b7yJt,統一7-ELEVEn獅,NsGzj,2,1,6,7,0,2,"0,0,0,0,0,0,1,1,0","0,0,0,1,0,0,0,0,0",HOME,1
YCpGD,CPBL-2026-oB,2026,一軍,例行賽,2026-05-08,2026-05-08 18:35,2026-05-08 21:10,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,味全龍,GJ5tu,2,1,5,4,1,1,"0,0,1,0,1,0,0,0,0","0,0,1,0,0,0,0,0,0",HOME,1
uo8jw,CPBL-2026-oB,2026,一軍,例行賽,2026-05-06,2026-05-06 18:35,2026-05-06 21:43,嘉義市立棒球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,台鋼雄鷹,UuZ3x,4,1,8,9,0,1,"2,1,0,1,0,0,0,0,0","0,0,0,0,1,0,0,0,0",HOME,1
85EP5,CPBL-2026-oB,2026,一軍,例行賽,2026-05-06,2026-05-06 18:35,2026-05-06 21:50,臺北大巨蛋,9,,FINISHED,NORMAL,味全龍,GJ5tu,中信兄弟,RAe8S,0,6,6,13,0,1,"0,0,0,0,0,0,0,0,0","1,0,0,0,0,0,0,0,5",AWAY,0
bLWyG,CPBL-2026-oB,2026,一軍,例行賽,2026-05-06,2026-05-06 18:35,2026-05-06 21:34,新北市立新莊棒球場,9,,FINISHED,NORMAL,富邦悍將,H0zzP,樂天桃猿,b7yJt,7,1,12,9,0,1,"4,0,2,1,0,0,0,0,0","0,0,0,0,1,0,0,0,0",HOME,1
60QG7,CPBL-2026-oB,2026,一軍,例行賽,2026-05-05,2026-05-05 18:35,2026-05-05 21:58,臺北大巨蛋,11,,FINISHED,NORMAL,味全龍,GJ5tu,中信兄弟,RAe8S,5,3,8,11,0,0,"1,0,2,0,0,0,0,0,0,0,2","1,0,0,0,0,0,0,0,2,0,0",HOME,1
j4kov,CPBL-2026-oB,2026,一軍,例行賽,2026-05-03,2026-05-03 16:05,2026-05-03 19:01,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,富邦悍將,H0zzP,6,4,9,10,0,1,"0,0,1,1,0,1,0,3,0","1,0,0,3,0,0,0,0,0",HOME,1
3U75w,CPBL-2026-oB,2026,一軍,例行賽,2026-05-03,2026-05-03 16:05,2026-05-03 18:42,亞太國際棒球訓練中心-主球場,9,,FINISHED,NORMAL,統一7-ELEVEn獅,NsGzj,樂天桃猿,b7yJt,4,1,5,3,1,1,"0,0,0,0,2,0,2,0,0","1,0,0,0,0,0,0,0,0",HOME,1
hwgvG,CPBL-2026-oB,2026,一軍,例行賽,2026-05-03,2026-05-03 15:05,2026-05-03 17:50,臺北大巨蛋,10,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,中信兄弟,RAe8S,3,2,7,2,0,0,"0,0,0,0,0,1,0,1,0,1","0,0,0,0,0,2,0,0,0,0",HOME,1
D5FjN,CPBL-2026-oB,2026,一軍,例行賽,2026-05-02,2026-05-02 17:05,2026-05-02 20:04,臺北市立天母棒球場,9,,FINISHED,NORMAL,味全龍,GJ5tu,富邦悍將,H0zzP,4,5,8,8,0,0,"0,2,0,0,0,0,2,0,0","2,0,1,0,1,0,1,0,0",AWAY,0
hak0C,CPBL-2026-oB,2026,一軍,例行賽,2026-05-02,2026-05-02 16:05,2026-05-02 18:35,臺北大巨蛋,9,,FINISHED,NORMAL,台鋼雄鷹,UuZ3x,中信兄弟,RAe8S,2,0,7,4,0,1,"0,0,1,1,0,0,0,0,0","0,0,0,0,0,0,0,0,0",HOME,1
