game_id,season_id,year,phase,date,group,team,team_id,side,opponent,runs_scored,runs_allowed,hits,errors,win
HzhcI,CPBL-2024-xa,2024,一軍,2024-07-10,例行賽,中信兄弟,M45m3,home,樂天桃猿,11,1,12,0,1
HzhcI,CPBL-2024-xa,2024,一軍,2024-07-10,例行賽,樂天桃猿,Iqkqa,away,中信兄弟,1,11,3,0,0
LvDWH,CPBL-2024-xa,2024,一軍,2024-07-09,例行賽,台鋼雄鷹,U64ee,home,富邦悍將,4,5,10,0,0
LvDWH,CPBL-2024-xa,2024,一軍,2024-07-09,例行賽,富邦悍將,uIOrj,away,台鋼雄鷹,5,4,14,0,1
2FQQI,CPBL-2024-xa,2024,一軍,2024-07-09,例行賽,味全龍,BNi6c,home,統一7-ELEVEn獅,2,6,11,0,0
2FQQI,CPBL-2024-xa,2024,一軍,2024-07-09,例行賽,統一7-ELEVEn獅,GyWE7,away,味全龍,6,2,11,0,1
SqdOb,CPBL-2024-xa,2024,一軍,2024-07-09,例行賽,中信兄弟,M45m3,home,樂天桃猿,2,5,5,0,0
SqdOb,CPBL-2024-xa,2024,一軍,2024-07-09,例行賽,樂天桃猿,Iqkqa,away,中信兄弟,5,2,13,0,1
DmJ2p,CPBL-2024-xa,2024,一軍,2024-07-07,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,5,6,13,0,0
DmJ2p,CPBL-2024-xa,2024,一軍,2024-07-07,例行賽,富邦悍將,uIOrj,away,樂天桃猿,6,5,12,0,1
KdWxX,CPBL-2024-xa,2024,一軍,2024-07-07,例行賽,味全龍,BNi6c,home,台鋼雄鷹,3,0,9,0,1
KdWxX,CPBL-2024-xa,2024,一軍,2024-07-07,例行賽,台鋼雄鷹,U64ee,away,味全龍,0,3,7,0,0
mODTf,CPBL-2024-xa,2024,一軍,2024-07-07,例行賽,統一7-ELEVEn獅,GyWE7,home,中信兄弟,1,2,3,0,0
mODTf,CPBL-2024-xa,2024,一軍,2024-07-07,例行賽,中信兄弟,M45m3,away,統一7-ELEVEn獅,2,1,4,0,1
7DMwV,CPBL-2024-xa,2024,一軍,2024-07-06,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,10,3,19,0,1
7DMwV,CPBL-2024-xa,2024,一軍,2024-07-06,例行賽,富邦悍將,uIOrj,away,樂天桃猿,3,10,11,0,0
BVD5e,CPBL-2024-xa,2024,一軍,2024-07-06,例行賽,味全龍,BNi6c,home,台鋼雄鷹,11,4,17,0,1
BVD5e,CPBL-2024-xa,2024,一軍,2024-07-06,例行賽,台鋼雄鷹,U64ee,away,味全龍,4,11,11,0,0
BVRai,CPBL-2024-xa,2024,一軍,2024-07-06,例行賽,統一7-ELEVEn獅,GyWE7,home,中信兄弟,2,3,5,0,0
BVRai,CPBL-2024-xa,2024,一軍,2024-07-06,例行賽,中信兄弟,M45m3,away,統一7-ELEVEn獅,3,2,5,0,1
U2dze,CPBL-2024-xa,2024,一軍,2024-07-05,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,6,7,11,0,0
U2dze,CPBL-2024-xa,2024,一軍,2024-07-05,例行賽,富邦悍將,uIOrj,away,樂天桃猿,7,6,9,0,1
a8TUn,CPBL-2024-xa,2024,一軍,2024-07-05,例行賽,味全龍,BNi6c,home,台鋼雄鷹,1,6,6,0,0
a8TUn,CPBL-2024-xa,2024,一軍,2024-07-05,例行賽,台鋼雄鷹,U64ee,away,味全龍,6,1,10,0,1
8pNe0,CPBL-2024-xa,2024,一軍,2024-07-05,例行賽,統一7-ELEVEn獅,GyWE7,home,中信兄弟,5,11,13,0,0
8pNe0,CPBL-2024-xa,2024,一軍,2024-07-05,例行賽,中信兄弟,M45m3,away,統一7-ELEVEn獅,11,5,14,0,1
uO2MB,CPBL-2024-xa,2024,一軍,2024-07-02,例行賽,富邦悍將,uIOrj,home,樂天桃猿,2,1,9,0,1
uO2MB,CPBL-2024-xa,2024,一軍,2024-07-02,例行賽,樂天桃猿,Iqkqa,away,富邦悍將,1,2,7,0,0
L3D14,CPBL-2024-xa,2024,一軍,2024-07-01,例行賽,台鋼雄鷹,U64ee,home,富邦悍將,5,13,8,0,0
L3D14,CPBL-2024-xa,2024,一軍,2024-07-01,例行賽,富邦悍將,uIOrj,away,台鋼雄鷹,13,5,17,0,1
lIwjZ,CPBL-2024-xa,2024,一軍,2024-06-30,例行賽,台鋼雄鷹,U64ee,home,樂天桃猿,3,7,6,0,0
lIwjZ,CPBL-2024-xa,2024,一軍,2024-06-30,例行賽,樂天桃猿,Iqkqa,away,台鋼雄鷹,7,3,11,0,1
hrqrt,CPBL-2024-xa,2024,一軍,2024-06-29,例行賽,富邦悍將,uIOrj,home,統一7-ELEVEn獅,5,4,11,0,1
hrqrt,CPBL-2024-xa,2024,一軍,2024-06-29,例行賽,統一7-ELEVEn獅,GyWE7,away,富邦悍將,4,5,5,0,0
z7CAD,CPBL-2024-xa,2024,一軍,2024-06-29,例行賽,樂天桃猿,Iqkqa,home,台鋼雄鷹,1,6,5,0,0
z7CAD,CPBL-2024-xa,2024,一軍,2024-06-29,例行賽,台鋼雄鷹,U64ee,away,樂天桃猿,6,1,9,0,1
XY6pn,CPBL-2024-xa,2024,一軍,2024-06-27,例行賽,樂天桃猿,Iqkqa,home,富邦悍將,10,4,15,0,1
XY6pn,CPBL-2024-xa,2024,一軍,2024-06-27,例行賽,富邦悍將,uIOrj,away,樂天桃猿,4,10,7,0,0
Snsy6,CPBL-2024-xa,2024,一軍,2024-06-27,例行賽,中信兄弟,M45m3,home,統一7-ELEVEn獅,3,5,11,0,0
Snsy6,CPBL-2024-xa,2024,一軍,2024-06-27,例行賽,統一7-ELEVEn獅,GyWE7,away,中信兄弟,5,3,9,0,1
VYODL,CPBL-2024-xa,2024,一軍,2024-06-26,例行賽,富邦悍將,uIOrj,home,味全龍,3,2,9,0,1
VYODL,CPBL-2024-xa,2024,一軍,2024-06-26,例行賽,味全龍,BNi6c,away,富邦悍將,2,3,3,0,0
ANnXL,CPBL-2024-xa,2024,一軍,2024-06-26,例行賽,中信兄弟,M45m3,home,樂天桃猿,1,2,8,0,0
ANnXL,CPBL-2024-xa,2024,一軍,2024-06-26,例行賽,樂天桃猿,Iqkqa,away,中信兄弟,2,1,8,0,1
RKKMI,CPBL-2024-xa,2024,一軍,2024-06-25,例行賽,統一7-ELEVEn獅,GyWE7,home,樂天桃猿,11,4,16,0,1
RKKMI,CPBL-2024-xa,2024,一軍,2024-06-25,例行賽,樂天桃猿,Iqkqa,away,統一7-ELEVEn獅,4,11,11,0,0
